Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
165581,B001QE7J2G,A2VZIJHABHMIQW,"P. R. Schlosser ""REAL DOG LOVER""",6,7,1,1218153600,Canidae made my dogs VERY SICK,"New food and or changed formula's need to be introduced to animals slowly. Very slowly. However, I was not given this option by Canidae when I ran out of the old All Stages Life Dry Dog Food and purchased a new bag of the new formula (no warning label) with none of the old to mix in. That is the problem I'm having with my four dogs, 2 of which are 12 years old. Granted, the changes may be an added benefit to their new formula but it's NOT a benefit if they don't notify their consumers that there has been quite an extensive change (19 additional items) to their recipe.  Meanwhile, I've had to deal with 4 dogs who have been vomiting and have bloody diarrhea as well as vet bills for the past 17 days because of Canidae's neglectful oversight on not informing their consumers. I just found out about the NEW formula 2 days ago while researching Canidae on the web and found more disgruntled consumers.  That is why I give them 1 star.  The one good thing I can say about Canidae (their old formula was great by the way) is thank God this can't be compared to the recall of last year that killed thousands of pets.  By the way, what WAS wrong with the old formula????"
268304,B0040K41MY,A23RZIU0N8K2KR,M. Caceres,2,3,4,1338422400,Changed their formula: taste like Vanilla & Cornmeal,"I love Nature's Path, however with this cereal I am not disappointed, but I am not impressed either.<br /><br />First off, if you take a look at the pictures, you see will see a good mix of Corn, Rice, Flax, Quinoa, Buckwheat & Amaranth. However, it appears that when Nature's Path change the look on their boxes, they also change their formula. Mines was about 70% cornmeal, 30% everything else. I have uploaded a photo so hopefully you can see what I saw (should be one of the very last photos in the gallery).<br /><br />Because mines was 70% cornmeal, the cereal DID taste like vanilla but it had a cornmeal aftertaste. If you take a long time with your cereal, slowly the vanilla transfers onto the milk, and the cereal mostly take like cornmeal.<br /><br />Now if you like the taste of corn, that's fine. But I was expecting more flavors particularly the flax and amaranth, but those flavors were lost in the mix.<br /><br />This product IS however 100% organic except for natural vanilla flavor, sea salt, and tocopherols (natural vitamin E). Compare to other cereals, it is low in calories (110), contains no cholesterol, and is high in fiber (12% of your daily values). However, because it is organic with very little added to it, it is low in nutrition compare to other non-organic cereals such as special K. It only has 4% iron (surprisingly, Vitamin E is not listed as a nutrition even though it is listed as an ingredient).<br /><br />Other pros of the cereal is that it contains 0.15g of Omega 3 per serving, which is 11% of the recommended daily value of 1.3g<br /><br />It is also gluten-free for those who can't consume gluten as well as certified USDA organic. My cereal box expired Nov 02 2012.<br /><br />The box says that Nature's Path change their boxes by making their packages smaller to reduce 10% of their impact on the planet by saving on water, energy and paperboard. However, I am also 100% convinced that their also change their formula to include more of the cheaper cornmeal and include less of the more expensive ingredients."
549857,B004779XNW,ARQB38AZJBQN0,Maureen Federico,1,1,5,1309824000,Great coffee!,"This is a full bodied, delicious blend of coffee. The package came quickly and in perfect condition. I'll order this again and again. Makes mornings much more bearable."
165898,B0009F3SA0,A3I0ZP2CTZBPOH,"Monica Harris ""monica harris""",9,9,4,1207267200,great tea but too much stevia,"My 10 yr. old and I drink caffeine free tea every night. This one has more and seemingly better ingredients than our usual sleep time tea, but it is too heavy on the stevia leaf which leaves a very strong ""sweet & low"" type aftertaste.<br />It does have very relaxing qualities and the flavor is great until the aftertaste of each sip. I am going to try using one bag of this and one bag of our usual sleep time tea to see if this helps because it really is a good tea if you are used to using artificial sweetners (as I am not) and want a healthier alternative. Half as much stevia and I would give it 5 stars."
165909,B0009F3SA0,A21VGNU5959O85,Laura Terese Henri,4,4,5,1245024000,Excellent alternative to taking Pills.,"I am a night owl, not by choice but because my mind is so full of information, stress, memories, etc I cannot just fall asleep. I have stopped drinking caffeine but still was having trouble. I usually would just pop a tylenol PM, and off I went, but wanted to break that habit and try to find some alternative natural way of relaxing and getting to sleep.<br /><br />A friend gave me a box of Yogi Bedtime tea, and I was skeptical. I knew that it wouldnt have the same effects as taking a pill, but I didnt think it would relax me to the point where I could stop taking the pills all together. I WAS WRONG.<br /><br />This tea of course didnt knock me out, but it for sure relaxed my mind, calmed me down, slowly nestled me into its aromatic comfort and I was in bed asleep quicker than quick! Its consistent, reliable and all natural and that is all I wanted out of this product.<br /><br />AND its delicious by the way, just keep it away from your cats, valarian root has the same effects on kitties as catnip."
233340,B007TJGZ4A,A2P2TACM8IM7Q4,"Reinhard Loeffl ""rloeffl""",2,2,5,1264809600,The Best,"I have tried all the K-Cup coffee's and I always come back to this one, it sounds like a foo-foo drink but the aroma and taste make it a good cup of coffee anytime of day, and the price is right too.  I buy two fifty packs and that comes out to just a little over four cents for a twelve ounce cup of coffee.  Try that at Starbucks."
79809,B001IZM92S,A1X54EY7D8CK08,Y. Xia,0,0,5,1330732800,Can't Stopping Getting More,"I purchased these dried apples as a healthier substitutes for times when I want to eat chips. And these baked-dried apples are awesome!<br /><br />The flavor is quite natural, it's like the real apples that not very sweet, and I even got some quite sour pieces. And the apple pieces are real-cut from apples, you can tell several parts from apple - although already shrink. People who are complaining the flavor should be aware those that tastes good usually has hidden preservatives or sugar added. In the end, a real apple wouldn't taste much better than these dried apples.<br /><br />I have to admit that they tend to be a little bit too crispy some time that biting is not very easy. But it does help me to slow down while eating it - it tastes so good to me that I just can't stopping getting for more! Plus, the 2pack 1 pound is good amount - not to little that you have to order again and again, also not too much that u'll worry about ever finishing it.<br /><br />I'll try dried mangoes and cinnamon apples for next time."
560242,B002UT92EY,A3DDFW29PLWKT,Adrienne,7,7,5,1306368000,All four cats love it,"First off, I want to share the nutrition information that ought to be listed in the product information. These numbers are from the bag.<br /><br />Crude protein: 40% min; Crude fat: 18% min; Crude fiber: 3.5% max; Moisture: 10% max; Calorie content: 391 kcal/cup.<br /><br />We're trying to help all four of our cats lose weight; two of them are significantly overweight and two of them just a little bit. I tried Wellness Core but the none of the cats loved it, and one of them wouldn't touch it. Core does have a better nutrition profile--it's 50% protein which I understand is ideal. The 40% that is in this product is barely better than the Purina One I had been feeding the cats. But the ingredients are much better and the carb/fat ratio is more desirable too.<br /><br />I'd like to have them on a wet/raw diet but one of the cats won't touch anything but dry food. This is the best food I've found for meeting everyone's needs."
165559,B001QE7J2G,A3TJ7A7FO4GM47,John T. Shea,12,13,5,1135123200,Very Impressed,"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today."
88625,B000PMJLJO,A2X674TN3P7AVU,"MS fanatic ""MS fanatic""",0,0,2,1330473600,To much dietary salt.,"I do like how these taste but there is too much dietary salt. I also found that after eating two, I began to get stomach knots."
